"Sample","Drug Class","TPM","Percet_abundance"
"AB1517","rifamycin antibiotic",126164.357535407,12.9679419724697
"AB1519","aminocoumarin antibiotic",105422.185576666,11.702099771429
"AB1519","aminoglycoside antibiotic",21071.997919395,2.3390391755517
"AB1519","lincosamide antibiotic",10323.787766715,1.14596366793496
"AB1519","macrolide antibiotic",446340.567742502,49.5448071692707
"AB1519","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",75101.6454771826,8.33645160707992
"AB1519","phenicol antibiotic",118749.895510505,13.181505557956
"AB1519","rifamycin antibiotic",123872.561890312,13.7501330507778
"AB1521","aminocoumarin antibiotic",117387.700750634,12.0177200563496
"AB1521","aminoglycoside antibiotic",15064.7549296647,1.5422740738982
"AB1521","macrolide antibiotic",495493.779232078,50.7268264937172
"AB1521","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",78747.5825868838,8.06188720446788
"AB1521","phenicol antibiotic",130279.385743784,13.3375232411095
"AB1521","rifamycin antibiotic",139815.24082303,14.3137689304576
"AB1523","aminocoumarin antibiotic",109557.062373958,12.4764698961265
"AB1523","aminoglycoside antibiotic",35085.0629107061,3.99552271413569
"AB1523","macrolide antibiotic",362752.454850859,41.3106191844054
"AB1523","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic",35128.9741283666,4.00052336834612
"AB1523","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",44559.9061031696,5.07452751126858
"AB1523","macrolide antibiotic; streptogramin antibiotic",35074.8962741049,3.99436492720026
"AB1523","phenicol antibiotic",173740.557631048,19.7857517356659
"AB1523","rifamycin antibiotic",82210.5452630654,9.3622206628515
"AB947","aminocoumarin antibiotic",133427.809854214,13.7581353305972
"AB947","aminoglycoside antibiotic",62266.3112652999,6.4204631542787
"AB947","macrolide antibiotic",437774.188405115,45.1401888024748
"AB947","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic",84788.1685314722,8.74275833774121
"AB947","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",124254.233657581,12.8122208101031
"AB947","macrolide antibiotic; streptogramin antibiotic",40488.4388523133,4.17488244514674
"AB947","rifamycin antibiotic",86811.1227599202,8.95135111965827
"AB948","aminoglycoside antibiotic",129929.160459069,13.5539648580372
"AB948","lincosamide antibiotic",63398.1484330902,6.6135752196862
"AB948","macrolide antibiotic",57709.5933954879,6.02015589179822
"AB948","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",189826.223730088,19.8023134797523
"AB948","macrolide antibiotic; streptogramin antibiotic",52155.1270360889,5.44072444181082
"AB948","oxazolidinone antibiotic; phenicol antibiotic",41962.6159293411,4.37746091522523
"AB948","phenicol antibiotic",351382.520557382,36.6555615270342
"AB948","rifamycin antibiotic",72242.9062550602,7.5362436666558
"AB977","aminocoumarin antibiotic",150957.400665291,15.3665636722371
"AB977","aminoglycoside antibiotic",79077.0161587547,8.04956894103054
"AB977","macrolide antibiotic",483922.53081446,49.2604294285541
"AB977","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",50819.8214511675,5.17315493443471
"AB977","rifamycin antibiotic",217599.016968642,22.1502830237435
"AB978","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic",329331.636136996,36.9201789498469
"AB978","phenicol antibiotic",562678.222711105,63.0798210501531
"AB979","aminocoumarin antibiotic",158752.659189424,15.8752659189424
"AB979","macrolide antibiotic",390664.269610384,39.0664269610384
"AB979","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic",36290.8107597792,3.62908107597792
"AB979","phenicol antibiotic",327789.959090455,32.7789959090455
"AB979","rifamycin antibiotic",86502.3013499578,8.65023013499578
"AB980","aminocoumarin antibiotic",149501.28981219,15.8172193103964
"AB980","aminoglycoside antibiotic",17127.415290644,1.81207857278475
"AB980","macrolide antibiotic",457081.328308599,48.3591520957894
"AB980","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",64377.5225085396,6.81113449560703
"AB980","phenicol antibiotic",150234.58859729,15.8948022377313
"AB980","rifamycin antibiotic",106858.464529016,11.3056132876911
"AB981","aminocoumarin antibiotic",110892.386857438,12.1224932335167
"AB981","macrolide antibiotic",400804.22831495,43.8149694799084
"AB981","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",57165.4552404624,6.24919224828573
"AB981","macrolide antibiotic; streptogramin antibiotic",25433.2178357878,2.78029916983622
"AB981","oxazolidinone antibiotic; phenicol antibiotic",30875.9503111997,3.37528580034175
"AB981","phenicol antibiotic",173246.328636911,18.9388785483762
"AB981","rifamycin antibiotic",116347.941195858,12.718881519735
"AB984","aminocoumarin antibiotic",301695.357358477,34.930415182732
"AB984","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",221077.038725495,25.596392392856
"AB984","rifamycin antibiotic",340931.501451207,39.473192424412
"AB985","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",191161.515908088,22.973366727904
"AB985","macrolide antibiotic; streptogramin antibiotic",17264.1763135383,2.07477039414568
"AB985","phenicol antibiotic",343310.47754922,41.2582912664399
"AB985","rifamycin antibiotic",280364.402044337,33.6935716115104
"AB986","aminocoumarin antibiotic",152325.352194365,17.0195145262102
"AB986","aminoglycoside antibiotic",25517.7513077739,2.85113234798051
"AB986","lincosamide antibiotic",40579.5549026105,4.53400772873889
"AB986","macrolide antibiotic",72128.3428699521,8.05899583714886
"AB986","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",106405.882727199,11.8888710294201
"AB986","macrolide antibiotic; streptogramin antibiotic",38519.0545778853,4.30378528248993
"AB986","oxazolidinone antibiotic; phenicol antibiotic",29402.0954201724,3.28513529032336
"AB986","phenicol antibiotic",273943.847676532,30.6081110447558
"AB986","rifamycin antibiotic",156182.214708177,17.4504469129325
